hmid,lead_days,check_in,check_out,price
25511305,105,2026-05-22,2026-05-26,No rates found
26856721,105,2026-05-22,2026-05-26,No rates found
25465521,105,2026-05-22,2026-05-26,No rates found
25453168,105,2026-05-22,2026-05-26,No rates found
25507017,105,2026-05-22,2026-05-26,No rates found
25445213,105,2026-05-22,2026-05-26,No rates found
25489472,105,2026-05-22,2026-05-26,No rates found
25437332,105,2026-05-22,2026-05-26,No rates found
25437338,105,2026-05-22,2026-05-26,No rates found
25437399,105,2026-05-22,2026-05-26,No rates found
25437401,105,2026-05-22,2026-05-26,No Rates
25437491,105,2026-05-22,2026-05-26,No Rates
25438709,105,2026-05-22,2026-05-26,No market price
25438838,105,2026-05-22,2026-05-26,No Rates
25439286,105,2026-05-22,2026-05-26,No Rates
25440317,105,2026-05-22,2026-05-26,No Rates
25440839,105,2026-05-22,2026-05-26,No Rates
25441126,105,2026-05-22,2026-05-26,No Rates
25441560,105,2026-05-22,2026-05-26,No Rates
25441960,105,2026-05-22,2026-05-26,"{'mkt_room': 'Classic Room, 1 Double Bed', 'kt_room': 'Double room', 'sell': 0, 'Kuoni': 462, 'Market': 592, 'HotelMap': 570.9799999999999, 'kuoni_currency': 'EUR', 'mkt_currency': 'EUR', 'hotel_name': 'Classic Room, 1 Double Bed'}"
25441971,105,2026-05-22,2026-05-26,No rates found
25443248,105,2026-05-22,2026-05-26,No rates found
25443572,105,2026-05-22,2026-05-26,No rates found
25443952,105,2026-05-22,2026-05-26,No rates found
25444011,105,2026-05-22,2026-05-26,No rates found
25444697,105,2026-05-22,2026-05-26,No rates found
25445043,105,2026-05-22,2026-05-26,No rates found
25445786,105,2026-05-22,2026-05-26,No rates found
25445944,105,2026-05-22,2026-05-26,No rates found
25446958,105,2026-05-22,2026-05-26,No rates found
25447421,105,2026-05-22,2026-05-26,No Rates
25448397,105,2026-05-22,2026-05-26,No Rates
25448853,105,2026-05-22,2026-05-26,"{'mkt_room': 'Classic Room, 1 Double Bed', 'kt_room': 'Double room', 'sell': 0, 'Kuoni': 535, 'Market': 606.4, 'HotelMap': 584.27, 'kuoni_currency': 'EUR', 'mkt_currency': 'EUR', 'hotel_name': 'Classic Room, 1 Double Bed'}"
25449424,105,2026-05-22,2026-05-26,No Rates
25449763,105,2026-05-22,2026-05-26,No Rates
25450308,105,2026-05-22,2026-05-26,No rates found
25451673,105,2026-05-22,2026-05-26,No rates found
25453015,105,2026-05-22,2026-05-26,No rates found
25453160,105,2026-05-22,2026-05-26,No rates found
25453686,105,2026-05-22,2026-05-26,No rates found
25455311,105,2026-05-22,2026-05-26,No rates found
25458113,105,2026-05-22,2026-05-26,No rates found
25458148,105,2026-05-22,2026-05-26,No rates found
25458389,105,2026-05-22,2026-05-26,No rates found
25459328,105,2026-05-22,2026-05-26,No rates found
25460188,105,2026-05-22,2026-05-26,No Rates
25462009,105,2026-05-22,2026-05-26,No Rates
25462024,105,2026-05-22,2026-05-26,No Rates
25462302,105,2026-05-22,2026-05-26,No Rates
25462372,105,2026-05-22,2026-05-26,"{'mkt_room': 'Standard Room, 1 King Bed', 'kt_room': 'Double room', 'sell': 0, 'Kuoni': 477, 'Market': 825.8000000000001, 'HotelMap': 760.0, 'kuoni_currency': 'GBP', 'mkt_currency': 'EUR', 'hotel_name': 'Standard Room, 1 King Bed'}"
25462376,105,2026-05-22,2026-05-26,No rates found
25463668,105,2026-05-22,2026-05-26,No rates found
25464999,105,2026-05-22,2026-05-26,No rates found
25465045,105,2026-05-22,2026-05-26,No rates found
25466946,105,2026-05-22,2026-05-26,No rates found
25468816,105,2026-05-22,2026-05-26,No Rates
25469694,105,2026-05-22,2026-05-26,No Rates
25470277,105,2026-05-22,2026-05-26,No Rates
25470912,105,2026-05-22,2026-05-26,No Rates
25471190,105,2026-05-22,2026-05-26,"{'mkt_room': 'Double Room, 1 King Bed', 'kt_room': 'Double room', 'sell': 0, 'Kuoni': 216, 'Market': 436, 'HotelMap': 383.16, 'kuoni_currency': 'EUR', 'mkt_currency': 'EUR', 'hotel_name': 'Double Room, 2 Twin Beds'}"
25472035,105,2026-05-22,2026-05-26,No rates found
25472083,105,2026-05-22,2026-05-26,No rates found
25473461,105,2026-05-22,2026-05-26,No rates found
25476642,105,2026-05-22,2026-05-26,No rates found
25480806,105,2026-05-22,2026-05-26,No rates found
25487652,105,2026-05-22,2026-05-26,No rates found
25490952,105,2026-05-22,2026-05-26,No rates found
25495717,105,2026-05-22,2026-05-26,No rates found
25499397,105,2026-05-22,2026-05-26,No rates found
25502422,105,2026-05-22,2026-05-26,No rates found
25502602,105,2026-05-22,2026-05-26,No Rates
25506066,105,2026-05-22,2026-05-26,No Rates
25506774,105,2026-05-22,2026-05-26,"{'mkt_room': 'Classic Double Room - 1 King Bed', 'kt_room': 'Double room', 'sell': 0, 'Kuoni': 272, 'Market': 432, 'HotelMap': 417.84, 'kuoni_currency': 'EUR', 'mkt_currency': 'EUR', 'hotel_name': 'Classic Single Room - 1 Large Twin Bed'}"
25506851,105,2026-05-22,2026-05-26,No Rates
25520848,105,2026-05-22,2026-05-26,No Rates
25527461,105,2026-05-22,2026-05-26,No rates found
25902381,105,2026-05-22,2026-05-26,No rates found
26137261,105,2026-05-22,2026-05-26,No rates found
26517721,105,2026-05-22,2026-05-26,No rates found
26809741,105,2026-05-22,2026-05-26,No rates found
27303321,105,2026-05-22,2026-05-26,No Rates
29173201,105,2026-05-22,2026-05-26,"{'mkt_room': 'Classic Room, 1 Double Bed', 'kt_room': 'Double room', 'sell': 0, 'Kuoni': 605, 'Market': 642.64, 'HotelMap': 642.64, 'kuoni_currency': 'EUR', 'mkt_currency': 'EUR', 'hotel_name': 'Junior Suite, 1 Queen Bed (with Single Sofabed)'}"
30295469,105,2026-05-22,2026-05-26,No Rates
30296476,105,2026-05-22,2026-05-26,No Rates
30305466,105,2026-05-22,2026-05-26,"{'mkt_room': 'Classic Twin Room, 2 Twin Beds', 'kt_room': 'Double room', 'sell': 0, 'Kuoni': 362, 'Market': 574.76, 'HotelMap': 498.42, 'kuoni_currency': 'EUR', 'mkt_currency': 'EUR', 'hotel_name': 'Classic Twin Room, 2 Twin Beds'}"
30391013,105,2026-05-22,2026-05-26,No rates found
30499884,105,2026-05-22,2026-05-26,No rates found
30504801,105,2026-05-22,2026-05-26,No rates found
30506133,105,2026-05-22,2026-05-26,No rates found
30526226,105,2026-05-22,2026-05-26,No rates found
30553966,105,2026-05-22,2026-05-26,No rates found
30587463,105,2026-05-22,2026-05-26,No rates found
30616276,105,2026-05-22,2026-05-26,No rates found
30631443,105,2026-05-22,2026-05-26,No rates found
30654539,105,2026-05-22,2026-05-26,No rates found
30663341,105,2026-05-22,2026-05-26,No rates found
30844175,105,2026-05-22,2026-05-26,No rates found
31080680,105,2026-05-22,2026-05-26,No rates found
31137923,105,2026-05-22,2026-05-26,No rates found
31195655,105,2026-05-22,2026-05-26,No rates found
25446953,105,2026-05-22,2026-05-26,No rates found
25437708,105,2026-05-22,2026-05-26,No rates found
25438540,105,2026-05-22,2026-05-26,No rates found
25438613,105,2026-05-22,2026-05-26,No rates found
25440289,105,2026-05-22,2026-05-26,No rates found
25440519,105,2026-05-22,2026-05-26,No Rates
25440769,105,2026-05-22,2026-05-26,"{'mkt_room': 'Room, 1 King Bed', 'kt_room': 'Double room', 'sell': 0, 'Kuoni': 296, 'Market': 516, 'HotelMap': 496.32, 'kuoni_currency': 'EUR', 'mkt_currency': 'EUR', 'hotel_name': 'Room, 2 Twin Beds'}"
25440852,105,2026-05-22,2026-05-26,No Rates
25440925,105,2026-05-22,2026-05-26,No Rates
25441008,105,2026-05-22,2026-05-26,No Rates
25441037,105,2026-05-22,2026-05-26,No Rates
25441094,105,2026-05-22,2026-05-26,"{'mkt_room': 'Executive Double Room, Terrace - 1 Queen Bed and 1 Double Sofa Bed', 'kt_room': 'Double room', 'sell': 0, 'Kuoni': 930, 'Market': 1843.66, 'HotelMap': 1610.71, 'kuoni_currency': 'CHF', 'mkt_currency': 'EUR', 'hotel_name': 'Classic Single Room - 1 Twin Bed'}"
25441237,105,2026-05-22,2026-05-26,No Rates
25441426,105,2026-05-22,2026-05-26,No Rates
25441435,105,2026-05-22,2026-05-26,No Rates
25442148,105,2026-05-22,2026-05-26,No rates found
25443113,105,2026-05-22,2026-05-26,No rates found
25443382,105,2026-05-22,2026-05-26,No rates found
25443626,105,2026-05-22,2026-05-26,No rates found
25443879,105,2026-05-22,2026-05-26,No rates found
25444161,105,2026-05-22,2026-05-26,"{'mkt_room': 'Room, 1 Double Bed', 'kt_room': 'Double room', 'sell': 0, 'Kuoni': 692, 'Market': 727.72, 'HotelMap': 714.84, 'kuoni_currency': 'EUR', 'mkt_currency': 'EUR', 'hotel_name': 'Room, 1 Double Bed'}"
25444856,105,2026-05-22,2026-05-26,No Rates
25445021,105,2026-05-22,2026-05-26,No Rates
25445430,105,2026-05-22,2026-05-26,No Rates
25445619,105,2026-05-22,2026-05-26,No Rates
25445632,105,2026-05-22,2026-05-26,No rates found
25445792,105,2026-05-22,2026-05-26,No rates found
25446178,105,2026-05-22,2026-05-26,No rates found
25446385,105,2026-05-22,2026-05-26,No rates found
25447504,105,2026-05-22,2026-05-26,No rates found
25448255,105,2026-05-22,2026-05-26,No rates found
25448318,105,2026-05-22,2026-05-26,No rates found
25448557,105,2026-05-22,2026-05-26,No rates found
25448708,105,2026-05-22,2026-05-26,No rates found
25449861,105,2026-05-22,2026-05-26,No rates found
25450461,105,2026-05-22,2026-05-26,No rates found
25450821,105,2026-05-22,2026-05-26,No rates found
25451862,105,2026-05-22,2026-05-26,No rates found
25452087,105,2026-05-22,2026-05-26,No rates found
25452807,105,2026-05-22,2026-05-26,No rates found
25452890,105,2026-05-22,2026-05-26,No rates found
25453544,105,2026-05-22,2026-05-26,No rates found
