hmid,hotel_name,city,latitude,longitude,brand,number_of_rooms,stars
25511305,Scandic Aarhus City,Aarhus,56.154270,10.205400,Scandic Hotels,228,4
26856721,Chalet-Hotel Beau-Site,Adelboden,46.493957,7.561651,,36,4.5
25465521,The 1932 Hotel & Spa Cap d'Antibes - MGallery Collection,Antibes,43.566277,7.117099,MGallery,64,4.0
25453168,Hotel Euler,Basel,47.548588,7.590110,Manz Privacy Hotels,66,4
25507017,City Inn Basel,Basel,47.548910,7.589880,Manz Privacy Hotels,30,3
25445213,Bellevue Palace Hotel,Bern,46.946710,7.446665,,126,5
25489472,Holiday Inn BERN-WESTSIDE by IHG,Bern,46.944125,7.374119,Holiday Inn,144,4
25437332,InterContinental Budapest by IHG,Budapest,47.497547,19.047787,InterContinental Hotels & Resorts,402,5
25437338,InterContinental Berlin by IHG,Berlin,52.506939,13.345484,InterContinental Hotels & Resorts,558,5
25437399,Novotel Amsterdam City,Amsterdam,52.334238,4.888436,Novotel,610,4.5
25437401,Moxy Barcelona,Barcelona,41.379430,2.142680,Moxy,414,4
25437491,"Radisson Blu Beke Hotel, Budapest",Budapest,47.508181,19.059453,Radisson Blu,247,4.5
25438709,Stormont Hotel,Belfast,54.594532,-5.839062,Hastings Hotels,106,4
25438838,Mercure Paris Boulogne,Boulogne-Billancourt,48.833697,2.256466,Mercure,191,4
25439286,Scandic Byparken,Bergen,60.390095,5.323932,Scandic Hotels,159,3.5
25440317,Hilton Budapest,Budapest,47.502647,19.033478,Hilton Hotels,332,4.5
25440839,Holiday Inn Birmingham City Centre by IHG,Birmingham,52.475725,-1.899216,Holiday Inn,262,4.0
25441126,Warwick Grand-Place Brussels,Brussels,50.845141,4.354347,Warwick International Hotels,267,4
25441560,Mercure Budapest Castle Hill,Budapest,47.498902,19.026990,Mercure,390,4
25441960,Novotel Paris Est Centre De Conference,Bagnolet,48.863331,2.415115,Novotel,609,4
25441971,ibis Styles Avignon Sud,Avignon,43.926279,4.844330,ibis Styles,121,3
25443248,Mercure Bordeaux Château Chartrons,Bordeaux,44.859206,-0.569377,Mercure,215,4
25443572,Hotel Alimara,Barcelona,41.433871,2.147398,,154,4
25443952,INNSiDE by Melia Barcelona Apolo,Barcelona,41.374642,2.170767,Innside by Meliá,314,4
25444011,NH Sants Barcelona,Barcelona,41.384585,2.137844,NH Hotels,203,4
25444697,Danubius Hotel Helia,Budapest,47.525605,19.055818,Danubius Hotels,262,4
25445043,Melia Barcelona Sarrià,Barcelona,41.390847,2.141677,Meliá,321,5
25445786,Novotel Budapest City,Budapest,47.488564,19.023739,Novotel,319,4.5
